Codice,descrizione,scaffale
316605-9,base x 4304/5,O03
316672-4,copri cilindro,Q02
316834-4,ghiera,I01
316835-2,sede cuscinetto,H08
316883-1,base x 4306,V15
317380-0,cilindro,T05
317439-3,protezione lama,R03
317461-0,carter,D01
317565-8,piastra,U07
317635-3,scatola ingranaggio,R11
317814-3,scatola ingranaggio,N11
318143-7,protezione lama x 5903,F12
318151-8,piedino,X05
318303-1,coperchio,I04
318304-9,scatola cuscinetto,I03
318335-8,scatola ingranaggio,K05
319310-7,scatola ingranaggi,Y10
321118-7,albero,Q03
321170-5,alber eccentrico,L03
321260-4,spina,C07
321261-2,bottone olio,G06
321292-1,albero,G07
321369-2,battente,R05
321685-2,pistone,F04
321723-0,albero,G04
321725-6,albero eccentrico,G06
321733-7,coperchio frontale,G05
321855-3,albero eccentrico,F04
321859-5,ferma punta x HK1800,C03
321954-1,albero eccentrico,R04
321995-7,albero,L02
321997-3,bussola,M09
322168-5,porta punte,G02
322217-8,alberino x HR3520B,B08
322218-6,alberino x HR3850B,A07
322319-0,incudine,B07
322325-5,coperchio frontale,L08
322327-1,coperchio frontale,L08
322434-0,manicotto,M04
322435-8,incudine,N08
322517-6,chiavetta,A02
322537-0,bussola,N02
322652-0,frizione,O09
322653-8,con di pressione,O09
322691-0,albero ingr.,U05
322718-6,bussola x 6940D,S06
322743-7,ingranaggio,Q01
322754-2,incudine x 6950,Q03
322806-9,battente,R05
322826-3,asta trasmissione,P02
322880-7,albero x 6222,P08
322908-1,chiavetta,O01
322958-6,albero,N10
323679-3,anello camb.,P08
323767-6,spinotto,X02
323773-1,supporto porta punte,Q06
323817-7,anello,P10
323818-5,battente,T02
323822-4,anello,Y10
323846-0,custodia anello,T01
323875-3,bussola,F14
323876-1,anello,P07
323892-3,incudine,V11
323910-7,battente,P14
323921-2,albero,V12
323973-3,perno x HR5001C,X04
323988-0,camma frizione,S04
324013-0,incudine,P02
324014-8,porta punte,Y01
324015-6,battente,T04
324031-8,piedino,E16
324131-4,guida,R05
324185-1,supporto porta punte,F14
324216-6,anello,V03
324218-2,anello,V03
324261-1,manicotto,V12
324267-9,incudine,T06
324396-8,battente,V02
324420-7,manicotto,N12
324432-0,incudine,G13
324549-9,flangia,X03
324620-9,vite,X03
324621-7,spinotto,K10
324639-8,vite ad alette,T13
324711-6,boccola,G07
325125-2,asta porta lama,I06
325464-0,battente,N09
325549-2,spinotto,C06
325551-5,albero x 8419-B2,V04
325782-6,bussola,K09
325783-4,bussola,H03
325784-2,pistone,I04
325785-0,cono dist.,T13
325789-2,martello,I06
326066-5,albero,I03
326508-9,incudine,I04
326562-3,albero,G14
326564-9,massa battente,G10
326565-7,incudine,F09
326630-2,incudine,I09
326803-7,boccola,E16
326849-3,ingranaggio,D07
326850-8,cono press.,E09
326983-9,incudine,U04
329910-7,percussore,R10
331271-1,sigillo,I03
331435-7,piastra ferma base,Q04
331632-5,pistone,V01
331768-0,frizione,P11
331796-5,anello 25,R14
331814-9,camma frizione,E09
331992-5,frizione x BHR262,T11
332139-4,flangia,Y02
341079-5,piastra,L07
341462-6,piastra,Z01
341772-1,supporto protettore,C09
341933-3,leva x 3600,E02
342152-4,pattino di scorrimento,B07
342833-0,leva,V12
342910-8,supporto punta x HK1800,C02
343355-3,piastra acciaio,A09
343410-1,piastra,O04
343433-9,attacco mini coltelli,H05
343539-3,pinza ferm. x 9036,M06
343579-1,piastra,V07
343650-1,piastrina,M05
343891-9,piastrina nuova x HM1400,A04
344112-2,piastra cambio,N06
344142-3,coperchio,D03
344232-2,piastra,U04
344443-9,piastra,S01
344466-7,piastra rullo x 1806,X08
344549-3,piastra x 6017,B07
344586-7,piastra,V16
344790-8,rondella piana,P03
345001-4,piastra rullo,I02
345007-2,piastra rullo,P04
345211-3,disco con or,K06
345238-3,piastra base,U07
345342-8,pinza fermacarta,U09
345454-7,molla freno,G03
345479-1,guida per pattino,K01
345702-4,guida BPT350,G08
345998-7,piastrina,X06
346176-2,piastra blocco,I07
346537-6,leva,H02
346677-0,guida,P11
346859-4,tendi catena,G11
410051-9,copri cinghia,N12
410787-0,copri cinghia,I04
410828-2,coperchio,I01
410918-1,supporto base,K11
410936-9,anello cambio,O08
410986-4,bussola,M06
411019-8,copri cinghia,G07
411305-7,coperchio posteriore,H03
411426-5,copri cinghia,G05
411594-4,tappino regolazione,A08
411623-3,pomolo,A02
411625-9,bottone,C04
411650-0,coperchio trucioli,F09
412055-7,anello int.,F03
412067-0,anello pistone,F03
412072-7,tubo,N03
412073-5,anello int.,N09
413068-1,piastra base,P02
413F37-8,leva cambio,I08
414175-3,copri cannone,C01
414312-9,leva int.,M08
414708-4,leva interruttore,I09
414990-5,spinotto,M02
415302-5,coperchio scatola ing.,E06
415443-7,piastra guida,S09
415491-6,tasto,B02
415515-8,anello cambio,S07
415524-7,dispositivo antisc.,P01
415622-7,piastra di blocco,P01
415629-3,leva int.,T05
415689-5,biella,Q04
415690-0,coperchio,Q03
415807-5,porta riflett.,R09
415866-9,lente,B07
415953-4,asta int.,V07
416058-3,leva cambio,R06
416079-5,leva cambio,T01
416085-0,coperchio porta punte,P09
416086-8,supporto imp.,F16
416087-6,anello cambio,E12
416119-9,leva cambio,O08
416123-8,biella,V04
416124-6,tappo grasso,R12
416127-0,coperchio,U08
416274-7,tappo olio,T15
416283-6,sigillo olio,R08
416287-8,leva cambio hr4000,O01
416288-6,leva cambio,G14
416289-4,piastra slitta,P13
416292-5,coperchio,P14
416325-6,manicotto,E15
416401-6,gancio,U01
416410-5,coperchio porta p.,R07
416417-1,rotella,F15
416449-8,tasto,R01
416490-1,coperchio,T01
416497-7,raccordo asp.,S03
416566-4,manicotto,P12
416568-0,coperchio,E14
416571-1,leva cambio,P10
416573-7,manicotto,Z05
416575-3,coperchio carcassa,R16
416733-1,anello cambio x HK0500,K11
416927-8,anello guida,P03
416929-4,pistone,P11
416933-3,portaounte,P05
416934-1,anellodi cambio,R08
416935-9,tappo,E15
416937-5,coperchio,R11
416961-8,coperchio lama,G14
416994-3,anello di arresto,L15
417164-7,copri impugnatura,P15
417186-7,asta interruttore,R03
417283-9,leva inversione,G12
417292-8,leva inversione,U01
417405-1,camma ,T16
417432-8,biella,U02
417436-0,bussola,U08
417437-8,bussola,R01
417438-6,leva cambio,N15
417459-8,copri mandrino,V09
417576-4,bussola,R06
417577-2,coperchio porta punte,R06
417628-1,coperchoio leva,G12
417629-9,coperchio,R07
417715-6,fermo,D06
417771-9,pulsante,F13
417795-2,leva,X03
417813-6,comando int.,G14
417842-9,leva,T02
417879-6,leva cambio,V03
417880-1,leva,X02
418016-5,tasto,E10
418023-8,spinotto,U02
418217-5,ghiera,K02
418218-3,anello cambio,F15
418349-8,pistone x hm860,F10
418350-3,biella,Z05
418351-1,coperchio portapunte,Z04
418728-0,leva,P13
418753-1,leva inv.,X06
418981-8,coperchio,T15
419002-9,distanziale,Y11
419004-5,pistone x hr4010,F13
419005-3,biella,Z09
419015-0,manicotto,E16
419016-8,coperchio,E14
419022-3,convogliatore,K10
419027-3,leva,E14
419041-9,leva inv.,X09
419081-4,piastra,V16
419202-1,bussola,Z04
419241-1,coperchio,K11
419250-0,leva inv.,F14
419407-3,serbatoio olio,Z06
419518-4,tappo,Y04
419566-3,pulsante int.,G15
419642-3,coperchio,Q11
419693-6,coperchio,P16
419698-6,copri cinghia,D01
419760-7,guida bussola,N10
419875-0,biella,E09
421007-7,soletta gomma,I08
421075-0,anello gomma,L01
421093-8,soletta sughero,N09
421112-0,protezione,V08
421157-8,protezione,V04
421243-5,copri int.,G05
421279-4,copri int.,C04
421292-2,anello uretano,R11
421315-6,bussola,Q08
421323-7,copri interruttore,E02
421336-8,coperchio antipolvere,L06
421392-8,guarnizione,A03
421479-6,anello 19 x 9541,Q04
421494-0,anello gomma,A02
421541-7,coperchio cannone,C03
421570-0,anello,R09
421582-3,anello in gomma,L15
421598-4,tubo olio,X03
421623-5,anello,P14
421631-6,anello parapolvere,G12
421648-9,soletta x 9403,K07
421688-7,guarnizione,S05
421691-8,ammortizzatore,R06
421720-7,anello gomma,F16
421810-6,guarnizione,P10
421830-0,anello,U04
421837-6,protezione x tw0350,R10
421847-3,protezione,G13
421852-0,anello gomma,G14
421868-5,anello gomma,N10
421901-3,ammortizzatore,F14
421910-2,piastra di tenuta,E12
421942-9,distanziale,T13
421957-6,copri interruttore,R13
421958-4,raccordo  ,T14
422032-1,manicotto gomma,N15
422269-0,anello,E05
422750-1,sede cuscinetto,I08
423026-9,soletta spugna,A08
423029-3,soletta carbone,N09
423035-8,soletta sughero,N09
423036-6,soletta carbone,N09
423122-3,piastra cusc.,H02
423149-3,soletta sughero,Q07
423272-4,soletta gomma,M06
423314-4,soletta sughero,F11
423315-2,soletta,U01
423317-8,soletta carbone,F11
424056-3,bussola,X04
424109-8,protezione,P13
424128-4,tappo spazzola,Y09
424131-5,anello,G10
424147-0,protezione,D06
424370-7,protezione,P14
424375-7,protezione,R15
424429-0,protezione gomma,K09
424662-4,anello,I08
424773-5,ammortizzatore,I02
424828-6,anello,E04
424907-0,anello,E05
442007-4,guarnizione,F05
442124-0,guarnizione x 9069,N14
442129-0,guarnizione,X08
450067-2,supporto base,X01
450068-0,supporto base,X01
450070-3,scatola cusc.,F16
450098-1,bussola,Q11
450273-9,supporto,R16
450504-6,leva inv.,X09
450584-2,leva revers.,T14
450797-5,leva interruttore,K09
451432-8,coperchio,F13
451529-3,leva cambio,T11
451533-2,ghiera,K02
451639-6,anello,Q12
452205-2,coperchio,Y03
452439-7,coperchio,V16
